ID,Company,Category,Sub Category,Region,Source Name,URL,URL Type,RSS Available,XML Available,Update Frequency,Language,Official,Requires JS,Pagination,Status Code,Notes
1,Hindustan Times,City News,City News,Noida,Hindustan Times,https://www.hindustantimes.com/cities/noida-news,City News,Unknown,Unknown,Daily/As Published,English,Publisher,No,Likely,200,Verified dynamic source page
2,Hindustan Times,City News,City News,Faridabad,Hindustan Times,https://www.hindustantimes.com/topic/faridabad/news,City News,Unknown,Unknown,Daily/As Published,English,Publisher,Maybe,Likely,200,Verified dynamic source page
3,Ambience Group,Developer,Official Blog,Gurugram,Ambience Group,https://www.ambiencegroup.in/blog,Official Blog,Unknown,Unknown,As Published,English,Yes,No,Unknown,200,Verified dynamic source page
4,Ambience Group,Developer,News Category,Gurugram,Ambience Group,https://www.ambiencegroup.in/corporate-news,News Category,Unknown,Unknown,Daily/As Published,English,Yes,No,Unknown,200,Verified dynamic source page
5,Ambience Group,Developer,Research,Gurugram,Ambience Group,https://www.ambiencegroup.in/insights,Research,Unknown,Unknown,As Published,English,Yes,No,Unknown,200,Verified dynamic source page
6,Ambience Group,Developer,Investor News,Gurugram,Ambience Group,https://www.ambiencegroup.in/investors,Investor News,Unknown,Unknown,As Published,English,Yes,No,Unknown,200,Verified dynamic source page
7,Ambience Group,Developer,Media Centre,Gurugram,Ambience Group,https://www.ambiencegroup.in/media,Media Centre,Unknown,Unknown,As Published,English,Yes,No,Unknown,200,Verified dynamic source page
8,Ambience Group,Developer,News Category,Gurugram,Ambience Group,https://www.ambiencegroup.in/news,News Category,Unknown,Unknown,Daily/As Published,English,Yes,No,Unknown,200,Verified dynamic source page
9,Ambience Group,Developer,News Category,Gurugram,Ambience Group,https://www.ambiencegroup.in/newsroom,News Category,Unknown,Unknown,Daily/As Published,English,Yes,No,Unknown,200,Verified dynamic source page
10,Ambience Group,Developer,Press Release Archive,Gurugram,Ambience Group,https://www.ambiencegroup.in/press,Press Release Archive,Unknown,Unknown,As Published,English,Yes,No,Unknown,200,Verified dynamic source page
11,Ambience Group,Developer,Press Release Archive,Gurugram,Ambience Group,https://www.ambiencegroup.in/press-releases,Press Release Archive,Unknown,Unknown,As Published,English,Yes,No,Unknown,200,Verified dynamic source page
12,Anant Raj,Developer,Investor News,Gurugram,Anant Raj,https://www.anantrajlimited.com/investors,Investor News,Unknown,Unknown,As Published,English,Yes,No,Unknown,200,Verified dynamic source page
13,Anant Raj,Developer,Media Centre,Gurugram,Anant Raj,https://www.anantrajlimited.com/media-center,Media Centre,Unknown,Unknown,As Published,English,Yes,No,Likely,200,Verified dynamic source page
14,Aparna Constructions,Developer,Official Blog,NCR,Aparna Constructions,https://www.aparnaconstructions.com/blog,Official Blog,Unknown,Unknown,As Published,English,Yes,No,Unknown,200,Verified dynamic source page
15,Aparna Constructions,Developer,News Category,NCR,Aparna Constructions,https://www.aparnaconstructions.com/corporate-news,News Category,Unknown,Unknown,Daily/As Published,English,Yes,No,Unknown,200,Verified dynamic source page
16,Aparna Constructions,Developer,Research,NCR,Aparna Constructions,https://www.aparnaconstructions.com/insights,Research,Unknown,Unknown,As Published,English,Yes,No,Unknown,200,Verified dynamic source page
17,Aparna Constructions,Developer,Investor News,NCR,Aparna Constructions,https://www.aparnaconstructions.com/investor-news,Investor News,Unknown,Unknown,As Published,English,Yes,No,Unknown,200,Verified dynamic source page
18,Aparna Constructions,Developer,Investor News,NCR,Aparna Constructions,https://www.aparnaconstructions.com/investors,Investor News,Unknown,Unknown,As Published,English,Yes,No,Unknown,200,Verified dynamic source page
19,Aparna Constructions,Developer,Media Centre,NCR,Aparna Constructions,https://www.aparnaconstructions.com/media,Media Centre,Unknown,Unknown,As Published,English,Yes,No,Unknown,200,Verified dynamic source page
20,Aparna Constructions,Developer,Media Centre,NCR,Aparna Constructions,https://www.aparnaconstructions.com/media-center,Media Centre,Unknown,Unknown,As Published,English,Yes,No,Unknown,200,Verified dynamic source page
21,Aparna Constructions,Developer,News Category,NCR,Aparna Constructions,https://www.aparnaconstructions.com/news,News Category,Unknown,Unknown,Daily/As Published,English,Yes,No,Unknown,200,Verified dynamic source page
22,Aparna Constructions,Developer,News Category,NCR,Aparna Constructions,https://www.aparnaconstructions.com/newsroom,News Category,Unknown,Unknown,Daily/As Published,English,Yes,No,Unknown,200,Verified dynamic source page
23,Aparna Constructions,Developer,Press Release Archive,NCR,Aparna Constructions,https://www.aparnaconstructions.com/press,Press Release Archive,Unknown,Unknown,As Published,English,Yes,No,Unknown,200,Verified dynamic source page
24,Aparna Constructions,Developer,Press Release Archive,NCR,Aparna Constructions,https://www.aparnaconstructions.com/press-releases,Press Release Archive,Unknown,Unknown,As Published,English,Yes,No,Unknown,200,Verified dynamic source page
25,ASF Group,Developer,Official Blog,Gurugram,ASF Group,https://www.asfinfrastructure.com/blog,Official Blog,Unknown,Unknown,As Published,English,Yes,No,Unknown,200,Verified dynamic source page
26,ASF Group,Developer,News Category,Gurugram,ASF Group,https://www.asfinfrastructure.com/corporate-news,News Category,Unknown,Unknown,Daily/As Published,English,Yes,No,Unknown,200,Verified dynamic source page
27,ASF Group,Developer,Research,Gurugram,ASF Group,https://www.asfinfrastructure.com/insights,Research,Unknown,Unknown,As Published,English,Yes,No,Unknown,200,Verified dynamic source page
28,ASF Group,Developer,Investor News,Gurugram,ASF Group,https://www.asfinfrastructure.com/investor-news,Investor News,Unknown,Unknown,As Published,English,Yes,No,Unknown,200,Verified dynamic source page
29,ASF Group,Developer,Investor News,Gurugram,ASF Group,https://www.asfinfrastructure.com/investors,Investor News,Unknown,Unknown,As Published,English,Yes,No,Unknown,200,Verified dynamic source page
30,ASF Group,Developer,Media Centre,Gurugram,ASF Group,https://www.asfinfrastructure.com/media,Media Centre,Unknown,Unknown,As Published,English,Yes,No,Unknown,200,Verified dynamic source page
31,ASF Group,Developer,Media Centre,Gurugram,ASF Group,https://www.asfinfrastructure.com/media-center,Media Centre,Unknown,Unknown,As Published,English,Yes,No,Unknown,200,Verified dynamic source page
32,ASF Group,Developer,News Category,Gurugram,ASF Group,https://www.asfinfrastructure.com/news,News Category,Unknown,Unknown,Daily/As Published,English,Yes,No,Unknown,200,Verified dynamic source page
33,ASF Group,Developer,News Category,Gurugram,ASF Group,https://www.asfinfrastructure.com/newsroom,News Category,Unknown,Unknown,Daily/As Published,English,Yes,No,Unknown,200,Verified dynamic source page
34,ASF Group,Developer,Press Release Archive,Gurugram,ASF Group,https://www.asfinfrastructure.com/press,Press Release Archive,Unknown,Unknown,As Published,English,Yes,No,Unknown,200,Verified dynamic source page
35,ASF Group,Developer,Press Release Archive,Gurugram,ASF Group,https://www.asfinfrastructure.com/press-releases,Press Release Archive,Unknown,Unknown,As Published,English,Yes,No,Unknown,200,Verified dynamic source page
36,Assetz Property Group,Developer,Official Blog,NCR,Assetz Property Group,https://www.assetzproperty.com/blog,Official Blog,Unknown,Unknown,As Published,English,Yes,No,Likely,200,Verified dynamic source page
37,ATS,Developer,Official Blog,Noida,ATS,https://www.atsgreens.com/blog,Official Blog,Unknown,Unknown,As Published,English,Yes,No,Likely,200,Verified dynamic source page
38,Auric Group,Developer,Official Blog,Faridabad,Auric Group,https://auricgroup.in/blog,Official Blog,Unknown,Unknown,As Published,English,Yes,No,Unknown,200,Verified dynamic source page
39,Auric Group,Developer,News Category,Faridabad,Auric Group,https://auricgroup.in/corporate-news,News Category,Unknown,Unknown,Daily/As Published,English,Yes,No,Unknown,200,Verified dynamic source page
40,Auric Group,Developer,Research,Faridabad,Auric Group,https://auricgroup.in/insights,Research,Unknown,Unknown,As Published,English,Yes,No,Unknown,200,Verified dynamic source page
41,Auric Group,Developer,Investor News,Faridabad,Auric Group,https://auricgroup.in/investor-news,Investor News,Unknown,Unknown,As Published,English,Yes,No,Unknown,200,Verified dynamic source page
42,Auric Group,Developer,Investor News,Faridabad,Auric Group,https://auricgroup.in/investors,Investor News,Unknown,Unknown,As Published,English,Yes,No,Unknown,200,Verified dynamic source page
43,Auric Group,Developer,Media Centre,Faridabad,Auric Group,https://auricgroup.in/media,Media Centre,Unknown,Unknown,As Published,English,Yes,No,Unknown,200,Verified dynamic source page
44,Auric Group,Developer,Media Centre,Faridabad,Auric Group,https://auricgroup.in/media-center,Media Centre,Unknown,Unknown,As Published,English,Yes,No,Unknown,200,Verified dynamic source page
45,Auric Group,Developer,News Category,Faridabad,Auric Group,https://auricgroup.in/news,News Category,Unknown,Unknown,Daily/As Published,English,Yes,No,Unknown,200,Verified dynamic source page
46,Auric Group,Developer,News Category,Faridabad,Auric Group,https://auricgroup.in/newsroom,News Category,Unknown,Unknown,Daily/As Published,English,Yes,No,Unknown,200,Verified dynamic source page
47,Auric Group,Developer,Press Release Archive,Faridabad,Auric Group,https://auricgroup.in/press,Press Release Archive,Unknown,Unknown,As Published,English,Yes,No,Unknown,200,Verified dynamic source page
